NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022,687387590,AVENIDA PREFEITO BERNARDO MENEGHETTI,,SP,3528908,200KG7W,GSM,890.75|874.5,845.75|829.5,42|62,,,005380301537,17,25,45.22,0,15,009180401065,10,-21.795964,-51.181514,2024-02-06,2005-08-24,2028-11-29,MariÃÂ¡polis,20250718,1,52.0,inf
VIVO,50409146447,155832022,687387590,AVENIDA PREFEITO BERNARDO MENEGHETTI,,SP,3528908,200KG7W,GSM,874.5|890.75,829.5|845.75,315|320,,,007290201293,15|14.5,30|25,65,0|2,30|35,009180401065,10,-21.795964,-51.181514,2024-02-06,2005-08-24,2028-11-29,MariÃÂ¡polis,20250718,4,318.0,inf
VIVO,50409146447,155832022|97432014|166262022|48412023|48422023,689110413,AVENIDA PREFEITO BERNARDO MENEGHETTI,,SP,3528908,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|788|1855|2150|2160|1862.5|1867.5,829.5|733|1760|1960|1970|1767.5|1772.5,80,Greenfield,sim,002000703518|024731703257,17.6|15.5|14.9|15.3|15.8,28|25|24,65|63.3|63|62|61.3,5|1,31|26,000910502519|048811903257|083071803257|008041101882|000081201882,14.5|40,-21.795964,-51.181514,2024-01-03,2007-05-04,2028-11-29|2029-12-08|2032-12-22|2038-04-30,MariÃÂ¡polis,20250718,1,80.0,inf
VIVO,50409146447,155832022|97432014|166262022|48412023|48422023,689110413,AVENIDA PREFEITO BERNARDO MENEGHETTI,,SP,3528908,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|788|1855|2150|2160|1862.5|1867.5,829.5|733|1760|1960|1970|1767.5|1772.5,200,Greenfield,sim,002000703518|024731703257,17.6|15.5|14.9|15.3|15.8,28|25|24,65|63.3|63|62|61.3,5|0,31|26,000910502519|048811903257|083071803257|008041101882|000081201882,14.5|40,-21.795964,-51.181514,2024-01-03,2007-05-04,2028-11-29|2029-12-08|2032-12-22|2038-04-30,MariÃÂ¡polis,20250718,3,200.0,inf
VIVO,50409146447,155832022|97432014|166262022|48412023|48422023,689110413,AVENIDA PREFEITO BERNARDO MENEGHETTI,,SP,3528908,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|788|1855|2150|2160|1862.5|1867.5,829.5|733|1760|1960|1970|1767.5|1772.5,280,Greenfield,sim,002000703518|024731703257,17.6|15.5|14.9|15.3|15.8,28|25|24,65|63.3|63|62|61.3,5|0,31|26,000910502519|048811903257|083071803257|008041101882|000081201882,14.5|40,-21.795964,-51.181514,2024-01-03,2007-05-04,2028-11-29|2029-12-08|2032-12-22|2038-04-30,MariÃÂ¡polis,20250718,4,280.0,inf
