NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012|29332016|48372023|34672011,690345488,R HENRIQUE PEDRO FERREIRA,,SP,3508900,200KG7W|20M0G7W|10M0G7W|15M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2625|2117.5|2140|885|892.75,1780|2520|2505|1927.5|1950|840|847.75,10,Greenfield,nÃÂ£o,056001603518|009371303519,14.3|14.5|14.7|14|14.89,25|23,65|59|53|62|65.28,0,50,040952002519|043341501882|008881101882,20|40|72.44,-22.01535,-51.23584,2024-08-15,2008-05-26,2028-03-31|2027-10-18|2031-08-29|2038-04-30|2026-06-01,Caiabu,20250718,1,10.0,inf
CLARO,50409105090,46622011|59592012|29332016|48372023|34672011,690345488,R HENRIQUE PEDRO FERREIRA,,SP,3508900,200KG7W|20M0G7W|10M0G7W|15M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2625|2117.5|2140|885|892.75,1780|2520|2505|1927.5|1950|840|847.75,110,Greenfield,nÃÂ£o,056001603518|009371303519,14.3|14.5|14.7|14|14.89,25|23,65|59|53|62|65.28,0,50,040952002519|043341501882|008881101882,20|40|72.44,-22.01535,-51.23584,2024-08-15,2008-05-26,2028-03-31|2027-10-18|2031-08-29|2038-04-30|2026-06-01,Caiabu,20250718,2,110.0,inf
CLARO,50409105090,46622011|59592012|29332016|48372023|34672011,690345488,R HENRIQUE PEDRO FERREIRA,,SP,3508900,200KG7W|20M0G7W|10M0G7W|15M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2625|2117.5|2140|885|892.75,1780|2520|2505|1927.5|1950|840|847.75,235,Greenfield,nÃÂ£o,056001603518|009371303519,14.3|14.5|14.7|14|14.89,25|23,65|59|53|62|65.28,0,50,040952002519|043341501882|008881101882,20|40|72.44,-22.01535,-51.23584,2024-08-15,2008-05-26,2028-03-31|2027-10-18|2031-08-29|2038-04-30|2026-06-01,Caiabu,20250718,3,235.0,inf
