NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,97432014|48412023|59072012|48422023|155832022,1000264030,Rodovia Bunjiro Nakao,KM 88 SP 250,SP,3537800|3519709,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|2160|2680|1867.5|1862.5|874.5,733|1970|2560|1772.5|1767.5|829.5,90,Greenfield,nÃÂ£o|sim,056001603518|004170801705,15|16|15.8|14.5|17.5|14.9,25|27|26,66|60|67|68|85,2|5,56,048811903257|083071803257|058221803257|008041101882|000081201882,40,-23.690719,-47.358578,2023-11-17,2016-06-30,2029-12-08|2038-04-30|2027-10-18|2032-12-22|2028-11-29,Piedade|IbiÃÂºna,20250717,2,90.0,inf
VIVO,50409146447,97432014|48412023|59072012|48422023|155832022,1000264030,Rodovia Bunjiro Nakao,KM 88 SP 250,SP,3537800|3519709,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|2160|2680|1867.5|1862.5|874.5,733|1970|2560|1772.5|1767.5|829.5,190,Greenfield,nÃÂ£o|sim,056001603518|004170801705,15|16|15.8|14.5|17.5|14.9,25|27|26,66|60|67|68|85,2|5,56,048811903257|083071803257|058221803257|008041101882|000081201882,40,-23.690719,-47.358578,2023-11-17,2016-06-30,2029-12-08|2038-04-30|2027-10-18|2032-12-22|2028-11-29,Piedade|IbiÃÂºna,20250717,3,190.0,inf
VIVO,50409146447,97432014|48412023|59072012|48422023|155832022,1000264030,Rodovia Bunjiro Nakao,KM 88 SP 250,SP,3537800|3519709,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|2160|2680|1867.5|1862.5|874.5,733|1970|2560|1772.5|1767.5|829.5,330,Greenfield,nÃÂ£o|sim,056001603518|004170801705,15|16|15.8|14.5|17.5|14.9,25|27|26,66|60|67|68|85,2|5,56,048811903257|083071803257|058221803257|008041101882|000081201882,40,-23.690719,-47.358578,2023-11-17,2016-06-30,2029-12-08|2038-04-30|2027-10-18|2032-12-22|2028-11-29,Piedade|IbiÃÂºna,20250717,4,330.0,inf
