NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|48412023|48422023|97432014|166262022,687528046,RUA ROBERTO MARÃÂSTICA,,SP,3554409,200KG7W|5M00G7W|10M0G7W,GSM|WCDMA|LTE,874.5|890.75|2160|1862.5|1867.5|788|1855,829.5|845.75|1970|1767.5|1772.5|733|1760,90|100,Greenfield,nÃÂ£o|sim,038801200762|002000703518|0,17.8|14.7|17.5|17.4|15,25|23|21,65|75.66|60.17|69|70.7,4|2|1,63|60,000910502519|000081201882|008041101882|083071803257|048811903257,32.5|40,-20.790833,-48.334444,2024-01-09,2005-10-05,2028-11-29|2038-04-30|2032-12-22|2029-12-08,Terra Roxa,20250717,2,95.0,inf
VIVO,50409146447,48422023|97432014|166262022|155832022|48412023,687528046,RUA ROBERTO MARÃÂSTICA,,SP,3554409,5M00G7W|10M0G7W|200KG7W,LTE|GSM|WCDMA,1862.5|1867.5|788|1855|890.75|874.5|2160,1767.5|1772.5|733|1760|845.75|829.5|1970,230|250,Greenfield,nÃÂ£o|sim,0|038801200762|002000703518,17.4|15|17.8|14.7|17.5,23|21|25,69|70.7|65|75.66|60.17,1|4|2,60|63,083071803257|048811903257|000910502519|000081201882|008041101882,40|32.5,-20.790833,-48.334444,2024-01-09,2005-10-05,2032-12-22|2029-12-08|2028-11-29|2038-04-30,Terra Roxa,20250717,3,240.0,inf
VIVO,50409146447,155832022|48412023|48422023|97432014|166262022,687528046,RUA ROBERTO MARÃÂSTICA,,SP,3554409,200KG7W|5M00G7W|10M0G7W,GSM|WCDMA|LTE,874.5|890.75|2160|1862.5|1867.5|788|1855,829.5|845.75|1970|1767.5|1772.5|733|1760,340|350,Greenfield,nÃÂ£o|sim,002000703518|0,17.3|14.7|17.5|17.4|15,28|25|23|21,65|75.66|60.17|69|70.7,6|2|0,63|60,000910502519|000081201882|008041101882|083071803257|048811903257,32.5|40,-20.790833,-48.334444,2024-01-09,2005-10-05,2028-11-29|2038-04-30|2032-12-22|2029-12-08,Terra Roxa,20250717,4,345.0,inf
