NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|29332016|59592012|97692014,687238340,R QUINTINO BOCAIUVA,FUNDOS DA PREFEITURA MUNICIPAL,SP,3532504,200KG7W|10M0G7W|20M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,953.75|1875|2625|2640|798|885|892.75,908.75|1780|2505|2520|743|840|847.75,10,Greenfield,nÃÂ£o,009371303519|012720905344,14.89|17.08|17.4|13.5|13.52,30|20|24,65.28|72.66|62|73|68,-2|-1,60|55,037621705894|006091702519|045621602519|033782402519|039721705894|010641001882,19.95|79.43|40|80|63.5,-20.84589,-49.63411,2024-07-30,2005-07-12,2028-03-31|2031-08-29|2027-10-18|2029-12-08,Neves Paulista,20250717,1,10.0,inf
CLARO,50409105090,46622011|29332016|59592012|97692014,687238340,R QUINTINO BOCAIUVA,FUNDOS DA PREFEITURA MUNICIPAL,SP,3532504,200KG7W|10M0G7W|20M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|2625|2640|798|885|892.75,1780|2505|2520|743|840|847.75,120,Greenfield,nÃÂ£o,008541105344|012720905344,16.97|17.4|13.5|13.52,34.65|20|24,71.05|62|73|68,-2|-4,60|55,006091702519|045621602519|033782402519|039721705894|010641001882,79.43|40|80|63.5,-20.84589,-49.63411,2024-07-30,2005-07-12,2028-03-31|2031-08-29|2027-10-18|2029-12-08,Neves Paulista,20250717,2,120.0,inf
CLARO,50409105090,46622011|29332016|59592012|97692014,687238340,R QUINTINO BOCAIUVA,FUNDOS DA PREFEITURA MUNICIPAL,SP,3532504,200KG7W|10M0G7W|20M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|2625|2640|798|885|892.75,1780|2505|2520|743|840|847.75,220,Greenfield,nÃÂ£o,008541105344|012720905344,16.97|17.4|13.5|13.52,34.65|20|24,71.05|62|73|68,-2|0,60|55,006091702519|045621602519|033782402519|039721705894|010641001882,79.43|40|80|63.5,-20.84589,-49.63411,2024-07-30,2005-07-12,2028-03-31|2031-08-29|2027-10-18|2029-12-08,Neves Paulista,20250717,3,220.0,inf
