NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,48352023|69272020,1003888973,RUA DRACENA,PQ. RESIDENCIAL GROOT,SP,3519055,5M00G7W,WCDMA,2130,1940,60,,,008541105344,16.7,40,71.05,0,34.5,005851101882,40,-22.642444,-47.054139,2023-07-07,2017-04-19,2038-04-30|2023-04-30,Holambra,20250715,1,60.0,0.5357799999999999
TIM,50010613854,48352023|69272020,1003888973,RUA DRACENA,PQ. RESIDENCIAL GROOT,SP,3519055,5M00G7W,WCDMA,2130,1940,200,,,008541105344,16.7,40,71.05,0,34.5,005851101882,40,-22.642444,-47.054139,2023-07-07,2017-04-19,2038-04-30|2023-04-30,Holambra,20250715,3,200.0,0.5357799999999999
TIM,50010613854,48352023|69272020,1003888973,RUA DRACENA,PQ. RESIDENCIAL GROOT,SP,3519055,5M00G7W,WCDMA,2130,1940,340,,,008541105344,16.7,40,71.05,0,34.5,005851101882,40,-22.642444,-47.054139,2023-07-07,2017-04-19,2038-04-30|2023-04-30,Holambra,20250715,4,340.0,0.5357799999999999
TIM,50010613854,47102015|48352023,1014361270,Rua Campo Das Palmas   205   Centro,0,SP,3519055,15M0G7W|5M00G7W,LTE,1812.5|1822.5|1830,1717.5|1727.5|1735,120,,,056001603518,16.15,25,65,-7.5,50,006091702519,40,-22.62778,-47.04917,2023-07-07,2022-10-20,2038-04-30,Holambra,20250715,2,120.0,0.26515
TIM,50010613854,47102015|48352023,1014361270,Rua Campo Das Palmas   205   Centro,0,SP,3519055,15M0G7W|5M00G7W,LTE,1812.5|1822.5|1830,1717.5|1727.5|1735,240,,,056001603518,16.15,25,65,-7.5,50,006091702519,40,-22.62778,-47.04917,2023-07-07,2022-10-20,2038-04-30,Holambra,20250715,3,240.0,0.26515
TIM,50010613854,47102015|48352023,1014361270,Rua Campo Das Palmas   205   Centro,0,SP,3519055,15M0G7W|5M00G7W,LTE,1812.5|1822.5|1830,1717.5|1727.5|1735,350,,,056001603518,16.15,25,65,-7.5,50,006091702519,40,-22.62778,-47.04917,2023-07-07,2022-10-20,2038-04-30,Holambra,20250715,4,350.0,0.26515
TIM,50010613854,47102015|48352023,1014775075,RUA PROJETADA,,SP,3519055,10M0G7W|5M00G7W,LTE,1812.5|1822.5|1830,1717.5|1727.5|1735,0,,,056001603518,16.15,25,65,0,40,006091702519,40,-22.623067,-47.050084,2024-04-19,2023-03-14,2031-03-11|2038-04-30,Holambra,20250715,1,0.0,0.26515
TIM,50010613854,47102015|48352023,1014775075,RUA PROJETADA,,SP,3519055,10M0G7W|5M00G7W,LTE,1812.5|1822.5|1830,1717.5|1727.5|1735,120,,,056001603518,16.15,25,65,0,40,006091702519,40,-22.623067,-47.050084,2024-04-19,2023-03-14,2031-03-11|2038-04-30,Holambra,20250715,2,120.0,0.26515
TIM,50010613854,47102015|48352023,1014775075,RUA PROJETADA,,SP,3519055,10M0G7W|5M00G7W,LTE,1812.5|1822.5|1830,1717.5|1727.5|1735,240,,,056001603518,16.15,25,65,0,40,006091702519,40,-22.623067,-47.050084,2024-04-19,2023-03-14,2031-03-11|2038-04-30,Holambra,20250715,3,240.0,0.26515
TIM,50010613854,47102015|48352023,683329251,RUA ROTA DOS IMIGRANTES    A,,SP,3519055,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1822.5|1830|1812.5|2130,1727.5|1735|1717.5|1940,60,Greenfield,sim,029891200762|011021100324,11.6|16.4,25|36,70.75|74,-7,32|34,007591301882|005851101882,20|40,-22.63278,-47.05361,2023-12-15,2003-04-24,2031-03-11|2038-04-30,Holambra,20250715,1,60.0,0.358785
TIM,50010613854,48352023|47102015,683329251,RUA ROTA DOS IMIGRANTES    A,,SP,3519055,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1830|1812.5|1822.5|2130,1735|1717.5|1727.5|1940,180|210,Greenfield,sim,029891200762|011021100324,11.6|16.4,25|36,70.75|74,-7,32|34,007591301882|005851101882,20|40,-22.63278,-47.05361,2023-12-15,2003-04-24,2038-04-30|2031-03-11,Holambra,20250715,3,180.0,0.358785
TIM,50010613854,47102015|48352023,683329251,RUA ROTA DOS IMIGRANTES    A,,SP,3519055,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1830|1822.5|2130,1717.5|1735|1727.5|1940,300|330,Greenfield,sim,029891200762|011021100324,11.6|16.4,25|36,70.75|74,-7,32|34,007591301882|005851101882,20|40,-22.63278,-47.05361,2023-12-15,2003-04-24,2031-03-11|2038-04-30,Holambra,20250715,4,300.0,0.358785
TIM,50010613854,166252022,691476004,Rua Campo Das Palmas   205   Centro,-,SP,3519055,200KG7W,GSM,1842.5,1747.5,120,,,013320701705,17.1,35,65,-7.5,50,021130703903,20,-22.62778,-47.04917,2023-07-13,2009-08-19,2032-12-22,Holambra,20250715,2,120.0,0.26515
TIM,50010613854,166252022,691476004,Rua Campo Das Palmas   205   Centro,-,SP,3519055,200KG7W,GSM,1842.5,1747.5,240,,,013320701705,17.1,35,65,-7.5,50,021130703903,20,-22.62778,-47.04917,2023-07-13,2009-08-19,2032-12-22,Holambra,20250715,3,240.0,0.26515
TIM,50010613854,166252022,691476004,Rua Campo Das Palmas   205   Centro,-,SP,3519055,200KG7W,GSM,1842.5,1747.5,350,,,013320701705,17.1,35,65,-7.5,50,021130703903,20,-22.62778,-47.04917,2023-07-13,2009-08-19,2032-12-22,Holambra,20250715,4,350.0,0.26515
TIM,50010613854,166252022,697456374,Estrada Municipal   165;167   Rural,-,SP,3519055,200KG7W,GSM,1842.5,1747.5,30,,,019160905344,17.7,30,65,-7.5|-6.5,40,021130703903,20,-22.60583,-47.07056,2023-07-13,2012-12-06,2032-12-22,Holambra,20250715,1,30.0,1.42085
TIM,50010613854,166252022,697456374,Estrada Municipal   165;167   Rural,-,SP,3519055,200KG7W,GSM,1842.5,1747.5,140,,,019160905344,17.7,30,65,-7.5|-6.5,40,021130703903,20,-22.60583,-47.07056,2023-07-13,2012-12-06,2032-12-22,Holambra,20250715,2,140.0,1.42085
