NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|59592012|48372023|34672011,684831058,R PIO AVELINO,,SP,3536307,200KG7W|10M0G7W|20M0G7W|15M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|953.75|798|2640|2117.5|2140|885|892.75,1780|908.75|743|2520|1927.5|1950|840|847.75,0,Greenfield,sim,027331703519,16.16|14.1|17.05,27|23|25|28|26,66.76|66.56|65.49,0,55,012111805894|010891905894|037621705894|057731705894|056351705894|008881101882|008041101882,20|19.95|80|40|72.44|61.52,-20.64139,-47.2804,2023-11-21,2004-10-18,2028-03-31|2029-12-08|2027-10-18|2038-04-30|2026-06-01,PatrocÃÂ­nio Paulista,20250716,1,0.0,inf
CLARO,50409105090,46622011|97692014|59592012|48372023|34672011,684831058,R PIO AVELINO,,SP,3536307,200KG7W|10M0G7W|20M0G7W|15M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|953.75|798|2640|2117.5|2140|885|892.75,1780|908.75|743|2520|1927.5|1950|840|847.75,100,Greenfield,sim,027331703519,16.16|14.1|17.05,27|23|25|28|26,66.76|66.56|65.49,0,55,012111805894|037621705894|010891905894|057731705894|056351705894|008881101882|008041101882,20|19.95|80|40|72.44|61.52,-20.64139,-47.2804,2023-11-21,2004-10-18,2028-03-31|2029-12-08|2027-10-18|2038-04-30|2026-06-01,PatrocÃÂ­nio Paulista,20250716,2,100.0,inf
CLARO,50409105090,46622011|97692014|59592012|48372023|34672011,684831058,R PIO AVELINO,,SP,3536307,200KG7W|10M0G7W|20M0G7W|15M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,953.75|1875|798|2640|2117.5|2140|885|892.75,908.75|1780|743|2520|1927.5|1950|840|847.75,220,Greenfield,sim,027331703519,14.1|16.16|17.05,23|27|25|28|26,66.56|66.76|65.49,0,55,037621705894|010891905894|012111805894|057731705894|056351705894|008881101882|008041101882,19.95|20|80|40|72.44|61.52,-20.64139,-47.2804,2023-11-21,2004-10-18,2028-03-31|2029-12-08|2027-10-18|2038-04-30|2026-06-01,PatrocÃÂ­nio Paulista,20250716,3,220.0,inf
