NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023,684610167,RUA MARINHEIRO,,SP,3553609,200KG7W|5M00G7W,GSM|LTE|WCDMA,956.25|1821.25|1823.75|1812.5|1828.75|2130,911.25|1726.25|1728.75|1717.5|1733.75|1940,130,Greenfield,nÃÂ£o,007690501705|029630905344|005390301705,14.3|16.3,26|31,81.69|83.4,-7,60,000790401592|007591301882|018930701882,20|40,-21.471389,-46.746111,2023-12-20,2004-07-01,2031-03-11|2038-04-30,Tapiratiba,20250716,2,130.0,inf
TIM,50010613854,47102015|48352023,684610167,RUA MARINHEIRO,,SP,3553609,200KG7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1828.75|1821.25|1823.75|956.25|2130,1717.5|1733.75|1726.25|1728.75|911.25|1940,240,Greenfield,nÃÂ£o,029630905344|012740905344|007690501705|005390301705,14.3|16.5|16.3,26|30|31,81.69|82.28|83.4,-7,60,007591301882|000790401592|018930701882,20|40,-21.471389,-46.746111,2023-12-20,2004-07-01,2031-03-11|2038-04-30,Tapiratiba,20250716,3,240.0,inf
TIM,50010613854,47102015|48352023,684610167,RUA MARINHEIRO,,SP,3553609,200KG7W|5M00G7W,GSM|LTE|WCDMA,1821.25|1812.5|1828.75|956.25|1823.75|2130,1726.25|1717.5|1733.75|911.25|1728.75|1940,350,Greenfield,nÃÂ£o,000650501705|012720905344|005390301705,13.4|13.5|16.3,27|20|31,73.7|68|83.4,0|-7,60,007591301882|000790401592|018930701882,20|40,-21.471389,-46.746111,2023-12-20,2004-07-01,2031-03-11|2038-04-30,Tapiratiba,20250716,4,350.0,inf
