NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014,689317107,AVENIDA EUCLIDES DA CUNHA ,,SP,3515350,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,30,Greenfield,,056001603518,11.96,23,65,-7,44,016081103903|007591301882|031191601350|008041101882,20|40,-22.55358,-52.58742,2023-12-19,2007-06-11,2031-03-11|2038-04-30|2029-12-08,Euclides da Cunha Paulista,20250718,1,30.0,inf
TIM,50010613854,47102015|48352023|97812014,689317107,AVENIDA EUCLIDES DA CUNHA ,,SP,3515350,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,120,Greenfield,,056001603518,11.96,23,65,-7,44,016081103903|007591301882|031191601350|008041101882,20|40,-22.55358,-52.58742,2023-12-19,2007-06-11,2031-03-11|2038-04-30|2029-12-08,Euclides da Cunha Paulista,20250718,2,120.0,inf
TIM,50010613854,47102015|48352023|97812014,689317107,AVENIDA EUCLIDES DA CUNHA ,,SP,3515350,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,250,Greenfield,,056001603518,11.96,23,65,-7,44,016081103903|007591301882|031191601350|008041101882,20|40,-22.55358,-52.58742,2023-12-19,2007-06-11,2031-03-11|2038-04-30|2029-12-08,Euclides da Cunha Paulista,20250718,3,250.0,inf
