NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|97432014|48422023|166262022,687524024,RUA ISVARTE COSTA,,SP,3502606,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|788|1867.5|1862.5|1855,829.5|733|1772.5|1767.5|1760,120,Greenfield,nÃÂ£o|sim,002000703518|024731703257,17.6|15.5|14.9|14.7,28|25,65|63.3|63|75.66,2|0,59|60,000910502519|048811903257|083071803257|000081201882,14.5|40,-20.450417,-50.881694,2024-01-30,2005-10-05,2028-11-29|2029-12-08|2032-12-22,Aparecida d'Oeste,20250719,2,120.0,inf
VIVO,50409146447,155832022|97432014|48422023|166262022,687524024,RUA ISVARTE COSTA,,SP,3502606,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|788|1867.5|1862.5|1855,829.5|733|1772.5|1767.5|1760,230,Greenfield,nÃÂ£o|sim,002000703518|024731703257,17.6|15.5|14.9|14.7,28|25,65|63.3|63|75.66,0,59|60,000910502519|048811903257|083071803257|000081201882,14.5|40,-20.450417,-50.881694,2024-01-30,2005-10-05,2028-11-29|2029-12-08|2032-12-22,Aparecida d'Oeste,20250719,3,230.0,inf
VIVO,50409146447,155832022|97432014|48422023|166262022,687524024,RUA ISVARTE COSTA,,SP,3502606,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|788|1867.5|1862.5|1855,829.5|733|1772.5|1767.5|1760,350,Greenfield,nÃÂ£o|sim,002000703518|024731703257,17.6|15.5|14.9|14.7,28|25,65|63.3|63|75.66,0,59|60,000910502519|048811903257|083071803257|000081201882,14.5|40,-20.450417,-50.881694,2024-01-30,2005-10-05,2028-11-29|2029-12-08|2032-12-22,Aparecida d'Oeste,20250719,4,350.0,inf
