NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014,689099436,RUA BOA ESPERANÃÂA             ,,SP,3553104,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,50,Greenfield,,056001603518|012740905344,11.96|16.5,23|30,65|82.28,-7,54|52,000790401592|007591301882|031191601350|005851101882,20|40,-21.14361,-48.51111,2023-12-19,2007-04-26,2031-03-11|2038-04-30|2029-12-08,TaiaÃÂ§u,20250717,1,50.0,inf
TIM,50010613854,47102015|48352023|97812014,689099436,RUA BOA ESPERANÃÂA             ,,SP,3553104,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,230,Greenfield,,056001603518|012740905344,11.96|16.5,23|30,65|82.28,-7,54|52,000790401592|007591301882|031191601350|005851101882,20|40,-21.14361,-48.51111,2023-12-19,2007-04-26,2031-03-11|2038-04-30|2029-12-08,TaiaÃÂ§u,20250717,3,230.0,inf
TIM,50010613854,47102015|48352023|97812014,689099436,RUA BOA ESPERANÃÂA             ,,SP,3553104,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,300,Greenfield,,056001603518|012740905344,11.96|16.5,23|30,65|82.28,-7,54|52,000790401592|007591301882|031191601350|005851101882,20|40,-21.14361,-48.51111,2023-12-19,2007-04-26,2031-03-11|2038-04-30|2029-12-08,TaiaÃÂ§u,20250717,4,300.0,inf
