NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014,688966349,RUA H    ,,SP,3502002,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,150,Greenfield,sim,013590301705|019160905344|056001603518|012740905344,13.6|11.8|16.15|11.96|16.5,28|23|25|30,90|65|74|82.28,0|-7,67,000790401592|007591301882|031191601350|005851101882,20|40,-22.12278|-22.122944,-47.66194|-47.662083,2023-12-19|2024-02-19,2007-02-01,2031-03-11|2038-04-30|2029-12-08,AnalÃÂ¢ndia,20250717,2,150.0,inf
TIM,50010613854,47102015|48352023|97812014,688966349,RUA H    ,,SP,3502002,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,340,Greenfield,sim,013590301705|019160905344|056001603518|012740905344,13.6|11.8|16.15|11.96|16.5,28|23|25|30,90|65|74|82.28,0|-7,67,000790401592|007591301882|031191601350|005851101882,20|40,-22.12278|-22.122944,-47.66194|-47.662083,2023-12-19|2024-02-19,2007-02-01,2031-03-11|2038-04-30|2029-12-08,AnalÃÂ¢ndia,20250717,4,340.0,inf
