NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,48352023|47102015,684787822,RODOVIA VICINAL JOAO JOAQUIM TELES FILHO,,SP,3524501,5M00G7W|200KG7W,WCDMA|GSM|LTE,2130|956.25|1812.5,1940|911.25|1717.5,55|60,Greenfield,nÃÂ£o,056001603518|013280301705|012720905344,11.96|11.3|13.5,23|30|20,65|68,-7,70,005851101882|000790401592|007591301882,40|20,-20.956933,-49.578456,2023-12-19,2004-09-21,2038-04-30|2031-03-11,Jaci,20250715,1,60.0,4.18147
TIM,50010613854,48352023|47102015,684787822,RODOVIA VICINAL JOAO JOAQUIM TELES FILHO,,SP,3524501,5M00G7W|200KG7W,WCDMA|GSM|LTE,2130|956.25|1812.5,1940|911.25|1717.5,210|230,Greenfield,nÃÂ£o,056001603518|013280301705|012720905344,11.96|11.3|13.5,23|30|20,65|68,-7,70,005851101882|000790401592|007591301882,40|20,-20.956933,-49.578456,2023-12-19,2004-09-21,2038-04-30|2031-03-11,Jaci,20250715,3,230.0,4.18147
TIM,50010613854,47102015|48352023|97812014|69272020,691933871,RUA SÃÂO PAULO,0,SP,3524501,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|778|2130,1717.5|1727.5|1735|723|1940,0,Greenfield,sim,056001603518,16.15|11.96,25,65|74,0,53,007591301882|000130401592|031191601350|027191702519,20|40,-20.881806,-49.570111,2023-07-06,2009-12-11,2038-04-30|2023-09-30,Jaci,20250715,1,0.0,4.18147
TIM,50010613854,47102015|48352023|97812014|69272020,691933871,RUA SÃÂO PAULO,0,SP,3524501,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|778|2130,1717.5|1727.5|1735|723|1940,120,Greenfield,sim,056001603518,16.15|11.96,25,65|74,0,53,007591301882|000130401592|031191601350|027191702519,20|40,-20.881806,-49.570111,2023-07-06,2009-12-11,2038-04-30|2023-09-30,Jaci,20250715,2,120.0,4.18147
TIM,50010613854,47102015|48352023|97812014|69272020,691933871,RUA SÃÂO PAULO,0,SP,3524501,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|778|2130,1717.5|1727.5|1735|723|1940,240,Greenfield,sim,056001603518,16.15|11.96,25,65|74,0,53,007591301882|000130401592|031191601350|027191702519,20|40,-20.881806,-49.570111,2023-07-06,2009-12-11,2038-04-30|2023-09-30,Jaci,20250715,3,240.0,4.18147
