NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014,685031888,RUA OROS,,SP,3520442,200KG7W|10M0G7W|5M00G7W,GSM|LTE,956.25|1812.5|1822.5|1830|778,911.25|1717.5|1727.5|1735|723,0,Greenfield,nÃÂ£o,056001603518,11.96,23,65,-7,60,016081103903|007591301882|031191601350,20|40,-20.42528,-51.335,2023-12-19,2005-01-05,2031-03-11|2038-04-30|2029-12-08,Ilha Solteira,20250715,1,0.0,inf
TIM,50010613854,47102015|48352023|97812014,685031888,RUA OROS,,SP,3520442,200KG7W|10M0G7W|5M00G7W,GSM|LTE,956.25|1812.5|1822.5|1830|778,911.25|1717.5|1727.5|1735|723,100,Greenfield,nÃÂ£o,056001603518,11.96,23,65,-7,60,016081103903|007591301882|031191601350,20|40,-20.42528,-51.335,2023-12-19,2005-01-05,2031-03-11|2038-04-30|2029-12-08,Ilha Solteira,20250715,2,100.0,inf
TIM,50010613854,47102015|48352023|97812014,685031888,RUA OROS,,SP,3520442,200KG7W|10M0G7W|5M00G7W,GSM|LTE,956.25|1812.5|1822.5|1830|778,911.25|1717.5|1727.5|1735|723,230,Greenfield,nÃÂ£o,056001603518,11.96,23,65,-7,60,016081103903|007591301882|031191601350,20|40,-20.42528,-51.335,2023-12-19,2005-01-05,2031-03-11|2038-04-30|2029-12-08,Ilha Solteira,20250715,3,230.0,inf
