NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|29332016|59592012|48372023|34672011,684874482,R RUI BARBOSA,,SP,3507407,200KG7W|10M0G7W|20M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,953.75|1875|2625|2640|885|892.75|2117.5|2140,908.75|1780|2505|2520|840|847.75|1927.5|1950,10,Greenfield,nÃÂ£o,027331703519|012720905344|009371303519,14.1|16.16|17.05|16.18|13.52|14.89,23|27|28|25|20|30,66.56|66.76|65.49|65|68|65.28,-2,60,037621705894|006091702519|056351705894|039721705894|027191702519,19.95|79.43|40|80|60,-21.62141,-49.07182,2024-08-13,2004-10-18,2028-03-31|2031-08-29|2027-10-18|2038-04-30|2026-06-01,Borborema,20250715,1,10.0,inf
CLARO,50409105090,46622011|29332016|59592012|48372023|34672011,684874482,R RUI BARBOSA,,SP,3507407,200KG7W|10M0G7W|20M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,953.75|1875|2625|2640|885|892.75|2117.5|2140,908.75|1780|2505|2520|840|847.75|1927.5|1950,170,Greenfield,nÃÂ£o,027331703519|012720905344|009371303519,14.1|16.16|17.05|16.18|13.52|14.89,23|27|28|25|20|30,66.56|66.76|65.49|65|68|65.28,-2,60,037621705894|006091702519|056351705894|039721705894|027191702519,19.95|79.43|40|80|60,-21.62141,-49.07182,2024-08-13,2004-10-18,2028-03-31|2031-08-29|2027-10-18|2038-04-30|2026-06-01,Borborema,20250715,2,170.0,inf
CLARO,50409105090,46622011|29332016|59592012|48372023|34672011,684874482,R RUI BARBOSA,,SP,3507407,200KG7W|10M0G7W|20M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,953.75|1875|2625|2640|885|892.75|2117.5|2140,908.75|1780|2505|2520|840|847.75|1927.5|1950,280,Greenfield,nÃÂ£o,027331703519|012720905344|009371303519,14.1|16.16|17.05|16.18|13.52|14.89,23|27|28|25|20|30,66.56|66.76|65.49|65|68|65.28,-2,60,037621705894|006091702519|056351705894|039721705894|027191702519,19.95|79.43|40|80|60,-21.62141,-49.07182,2024-08-13,2004-10-18,2028-03-31|2031-08-29|2027-10-18|2038-04-30|2026-06-01,Borborema,20250715,4,280.0,inf
