NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|29332016|59592012,686138465,R ANTÃÂNIO BASSETO    LOTE 4 QUADRA B    JD. ALTO DA BOA VISTA,,SP,3511904,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2630|2650|890,1870|2620|2630|880,0,Greenfield,nÃÂ£o,027331703519,16.16|17.05|14.1,27.0|28.0|25.0,66.76|65.49|66.56,2.0,70.0,012111805894|056351705894|039721705894,20.0|40.0|80.0,-21.56306,-50.4475,2013-09-25,2005-03-15,2028-03-31|2027-10-18,Clementina,20250715,1,0.0,inf
CLARO,50409105090,46622011|29332016|59592012,686138465,R ANTÃÂNIO BASSETO    LOTE 4 QUADRA B    JD. ALTO DA BOA VISTA,,SP,3511904,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2630|2650|890,1870|2620|2630|880,130,Greenfield,nÃÂ£o,027331703519,16.16|17.05|14.1,27.0|28.0|25.0,66.76|65.49|66.56,2.0,70.0,012111805894|056351705894|039721705894,20.0|40.0|80.0,-21.56306,-50.4475,2013-09-25,2005-03-15,2028-03-31|2027-10-18,Clementina,20250715,2,130.0,inf
