NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023,689461313,AVENIDA DAS SAUDADES    ,,SP,3548104,200KG7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1821.25|1823.75|956.25|2130,1717.5|1726.25|1728.75|911.25|1940,20,Greenfield,nÃÂ£o,013280301705|011471500324|043601403519,11.3|15.8|15.7,30|26|28,65|71.75,-7,60,007591301882|000790401592|005851101882,20|40,-22.113931,-46.683069,2023-12-19,2007-09-14,2031-03-11|2038-04-30,Santo AntÃÂ´nio do Jardim,20250716,1,20.0,inf
TIM,50010613854,47102015|48352023,689461313,AVENIDA DAS SAUDADES    ,,SP,3548104,200KG7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1812.5|1823.75|1821.25|2130,1717.5|1728.75|1726.25|1940,100,Greenfield,nÃÂ£o,011021100324,16.4,36,74,-7,60,007591301882|005851101882,20|40,-22.113931,-46.683069,2023-12-19,2007-09-14,2031-03-11|2038-04-30,Santo AntÃÂ´nio do Jardim,20250716,2,100.0,inf
TIM,50010613854,47102015|48352023,689461313,AVENIDA DAS SAUDADES    ,,SP,3548104,200KG7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1812.5|1821.25|1823.75|2130,1717.5|1726.25|1728.75|1940,240,Greenfield,nÃÂ£o,011021100324,16.4,36,74,-7,60,007591301882|005851101882,20|40,-22.113931,-46.683069,2023-12-19,2007-09-14,2031-03-11|2038-04-30,Santo AntÃÂ´nio do Jardim,20250716,3,240.0,inf
