NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|29332016|59592012|34672011|48372023,690633564,AV BARAO DO RIO BRANCO,,SP,3507704,200KG7W|10M0G7W|20M0G7W|15M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,1875|2625|2640|2140|2117.5|885|892.75,1780|2505|2520|1950|1927.5|840|847.75,20,Greenfield,nÃÂ£o,056001603518,14.3|14.5|14.7|14,25|23,65|59|53|62,0,60,040952002519|043341501882|008881101882,20|40|72.44,-21.50444,-50.31778,2024-08-15,2008-09-29,2028-03-31|2031-08-29|2027-10-18|2026-06-01|2038-04-30,BraÃÂºna,20250719,1,20.0,inf
CLARO,50409105090,46622011|29332016|59592012|34672011|48372023,690633564,AV BARAO DO RIO BRANCO,,SP,3507704,200KG7W|10M0G7W|20M0G7W|15M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,1875|2625|2640|2140|2117.5|885|892.75,1780|2505|2520|1950|1927.5|840|847.75,215,Greenfield,nÃÂ£o,056001603518,14.3|14.5|14.7|14,25|23,65|59|53|62,-2,60,040952002519|043341501882|008881101882,20|40|72.44,-21.50444,-50.31778,2024-08-15,2008-09-29,2028-03-31|2031-08-29|2027-10-18|2026-06-01|2038-04-30,BraÃÂºna,20250719,3,215.0,inf
CLARO,50409105090,46622011|29332016|59592012|34672011|48372023,690633564,AV BARAO DO RIO BRANCO,,SP,3507704,200KG7W|10M0G7W|20M0G7W|15M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,1875|2625|2640|2140|2117.5|885|892.75,1780|2505|2520|1950|1927.5|840|847.75,305,Greenfield,nÃÂ£o,056001603518,14.3|14.5|14.7|14,25|23,65|59|53|62,-2,60,040952002519|043341501882|008881101882,20|40|72.44,-21.50444,-50.31778,2024-08-15,2008-09-29,2028-03-31|2031-08-29|2027-10-18|2026-06-01|2038-04-30,BraÃÂºna,20250719,4,305.0,inf
