NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,59072012|48422023|155832022,1008827557,Rua Campos Sales,Predio Telefonica,SP,3505302,20M0G7W|5M00G7W,LTE|WCDMA,2680|1862.5|1867.5|874.5,2560|1767.5|1772.5|829.5,10|20,Greenfield,nÃÂ£o|sim,056001603518|029630905344,17.5|16.7|16.1|14.1|17.6,30|25|35,57|64|65|59|84.27|62,0|2|9|11,30|26|56,058221803257|083071803257|039721705894,40|49,-22.496669,-48.559825,2023-11-27,2019-07-11,2027-10-18|2032-12-22|2028-11-29,Barra Bonita,20250718,1,10.0,0.76895
VIVO,50409146447,59072012|48422023|155832022,1008827557,Rua Campos Sales,Predio Telefonica,SP,3505302,20M0G7W|5M00G7W,LTE|WCDMA,2680|1862.5|1867.5|874.5,2560|1767.5|1772.5|829.5,100|130|140,Greenfield,sim|nÃÂ£o,056001603518|029630905344,17.5|16.7|16.1|14.1|17.6,25|30|35,62|57|64|65|59|84.27,11|1|3|9|0,56|30|26,058221803257|083071803257|039721705894,40|49,-22.496669,-48.559825,2023-11-27,2019-07-11,2027-10-18|2032-12-22|2028-11-29,Barra Bonita,20250718,2,130.0,0.76895
VIVO,50409146447,59072012|48422023|155832022,1008827557,Rua Campos Sales,Predio Telefonica,SP,3505302,20M0G7W|5M00G7W,LTE|WCDMA,2680|1862.5|1867.5|874.5,2560|1767.5|1772.5|829.5,210|230|250,Greenfield,sim|nÃÂ£o,056001603518|029630905344,17.5|16.7|16.1|14.1|17.6,25|30|35,62|57|64|65|59|84.27,11|3|1|7|0,56|30|26,058221803257|083071803257|039721705894,40|49,-22.496669,-48.559825,2023-11-27,2019-07-11,2027-10-18|2032-12-22|2028-11-29,Barra Bonita,20250718,3,230.0,0.76895
VIVO,50409146447,59072012,1008827573,RUA JOSE AUGUSTO ANGELICI,RBR-NÃÂO,SP,3505302,20M0G7W,LTE,2680,2560,25,Greenfield,sim,056001603518,16,25,60,6,60,058221803257,40,-22.47333,-48.55306,2023-11-22,2019-07-11,2027-10-18,Barra Bonita,20250718,1,25.0,0.90103
VIVO,50409146447,59072012|97432014,1008827573,RUA JOSE AUGUSTO ANGELICI,RBR-NÃÂO,SP,3505302,20M0G7W|10M0G7W,LTE,2680|788,2560|733,100|160,Greenfield,nÃÂ£o|sim,056001603518,16.15|11.96|14.5|16,25,65|74|68|60,2|6,49|60,058221803257|048811903257,40,-22.47333,-48.55306,2023-11-22,2019-07-11,2027-10-18|2029-12-08,Barra Bonita,20250718,2,100.0,0.90103
VIVO,50409146447,59072012|97432014,1008827573,RUA JOSE AUGUSTO ANGELICI,RBR-NÃÂO,SP,3505302,20M0G7W|10M0G7W,LTE,2680|788,2560|733,210,Greenfield,nÃÂ£o|sim,056001603518,16.15|11.96|14.5,25,65|74|68,6,49,058221803257|048811903257,40,-22.47333,-48.55306,2023-11-22,2019-07-11,2027-10-18|2029-12-08,Barra Bonita,20250718,3,210.0,0.90103
VIVO,50409146447,59072012|97432014,1008827573,RUA JOSE AUGUSTO ANGELICI,RBR-NÃÂO,SP,3505302,20M0G7W|10M0G7W,LTE,2680|788,2560|733,300|315|330,Greenfield,nÃÂ£o|sim,056001603518,16.15|11.96|16|14.5,25,65|74|60|68,3|7|2,49|60,058221803257|048811903257,40,-22.47333,-48.55306,2023-11-22,2019-07-11,2027-10-18|2029-12-08,Barra Bonita,20250718,4,308.0,0.90103
VIVO,50409146447,155832022|48412023,5136962,RUA NAHIN ARRADI MARSORETO    150,,SP,3505302,200KG7W|5M00G7W,GSM|WCDMA,874.5|890.75|2160,829.5|845.75|1970,360,Greenfield,nÃÂ£o,56001603518|24731703257,16.15|15.9|15.5,25,65|62|61,7|2,56|39,910502519|16041001882|81201882,14.5|40,-22.488867,-48.547461,2024-08-12,1999-12-10,2028-11-29|2038-04-29,Barra Bonita,20250718,0,360.0,0.76895
VIVO,50409146447,155832022|48422023|59072012|97432014|166262022|48412023|105802021,5136962,RUA NAHIN ARRADI MARSORETO    150,,SP,3505302,200KG7W|5M00G7W|20M0G7W|10M0G7W|100MG7W,GSM|LTE|NR,874.5|890.75|1862.5|2680|788|1867.5|1855|2150|2160|3450,829.5|845.75|1767.5|2560|733|1772.5|1760|1960|1970|3450,20|34|50,Greenfield,nÃÂ£o|sim,56001603518|168242103257,16.15|16.7|17.5|13.5|17.4|16.8,25|30|23.8,65|64|57|63|62,7|2|0|-2,56|50|52|55,910502519|83071803257|58221803257|48811903257|168242103257,14.5|40|200,-22.488867,-48.547461,2024-08-12,1999-12-10,2028-11-29|2032-12-22|2027-10-18|2029-12-08|2038-04-29|2041-12-08,Barra Bonita,20250718,1,20.0,0.76895
VIVO,50409146447,155832022|48412023|48422023|59072012|97432014|166262022|105802021,5136962,RUA NAHIN ARRADI MARSORETO    150,,SP,3505302,200KG7W|5M00G7W|20M0G7W|10M0G7W|100MG7W,GSM|WCDMA|LTE|NR,874.5|890.75|2160|1862.5|2680|788|1867.5|1855|3450|2150,829.5|845.75|1970|1767.5|2560|733|1772.5|1760|3450|1960,100|130|140|160|170,Greenfield,nÃÂ£o|sim,56001603518|24731703257|168242103257,16.15|15.9|15.5|16.7|17.5|13.5|16.8|17.4,25|30|23.8,65|62|61|64|57|63,7|2|-5|1,56|39|50|55|52,910502519|16041001882|81201882|83071803257|58221803257|48811903257|168242103257,14.5|40|200,-22.488867,-48.547461,2024-08-12,1999-12-10,2028-11-29|2038-04-29|2032-12-22|2027-10-18|2029-12-08|2041-12-08,Barra Bonita,20250718,2,140.0,0.76895
