NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023,683116096,ESTRADA ABEL FABRICIO DIAS,,SP,3544301,200KG7W,GSM,1812.5|1830|1822.5,1717.5|1735|1727.5,0,Greenfield,,000150201293,11,25,88,0,40,006030301882,20,-22.88114,-45.34833,2023-12-15,2003-02-03,2031-03-11|2038-04-30,Roseira,20250718,1,0.0,inf
TIM,50010613854,47102015|48352023,683116096,ESTRADA ABEL FABRICIO DIAS,,SP,3544301,200KG7W,GSM,1812.5|1830|1822.5,1717.5|1735|1727.5,120,Greenfield,,000150201293,11,25,88,0,40,006030301882,20,-22.88114,-45.34833,2023-12-15,2003-02-03,2031-03-11|2038-04-30,Roseira,20250718,2,120.0,inf
TIM,50010613854,47102015|48352023,683116096,ESTRADA ABEL FABRICIO DIAS,,SP,3544301,200KG7W,GSM,1812.5|1830|1822.5,1717.5|1735|1727.5,240,Greenfield,,000150201293,11,25,88,0,40,006030301882,20,-22.88114,-45.34833,2023-12-15,2003-02-03,2031-03-11|2038-04-30,Roseira,20250718,3,240.0,inf
