NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|48422023|59072012|48412023|97432014|166262022,399678689,AVENIDA ADRIANO GALVÃÂO DE CASTRO,,SP,3540754,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,890.75|1867.5|874.5|1862.5|2680|2160|788|1855|2150,845.75|1772.5|829.5|1767.5|2560|1970|733|1760|1960,60|65,Greenfield,nÃÂ£o|sim,038701403518|038961403518,17|17.5|15.1|15.8|16.7|16.2,28|25,63.3|633|66.03|69.29|70.85|67|60|66,2|3|1,37|40,000910502519|006030301882|045621602519|058221803257|008041101882|010641001882|048811903257|083071803257,14.5|15.8|40,-22.836389,-45.255556,2023-11-22,1999-12-10,2028-11-29|2032-12-22|2027-10-18|2038-04-30|2029-12-08,Potim,20250717,1,60.0,inf
VIVO,50409146447,155832022|48422023|59072012|48412023|97432014|166262022,399678689,AVENIDA ADRIANO GALVÃÂO DE CASTRO,,SP,3540754,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|1862.5|890.75|1867.5|2680|2160|788|1855|2150,829.5|1767.5|845.75|1772.5|2560|1970|733|1760|1960,180|205,Greenfield,nÃÂ£o|sim,038701403518|038961403518,17|17.5|15.1|15.8|16.7|16.2,28|25,63.3|633|66.03|69.29|70.85|67|60|66,2|4|1,37|40,000910502519|006030301882|045621602519|058221803257|008041101882|010641001882|048811903257|083071803257,14.5|35.5|40,-22.836389,-45.255556,2023-11-22,1999-12-10,2028-11-29|2032-12-22|2027-10-18|2038-04-30|2029-12-08,Potim,20250717,3,180.0,inf
VIVO,50409146447,48422023|155832022|59072012|97432014|166262022|48412023,399678689,AVENIDA ADRIANO GALVÃÂO DE CASTRO,,SP,3540754,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1862.5|874.5|1867.5|890.75|2680|788|1855|2150|2160,1767.5|829.5|1772.5|845.75|2560|733|1760|1960|1970,300|320,Greenfield,nÃÂ£o|sim,038701403518|038961403518,17|15.8|16.7|17.5|16.2|15.1,28|25,63.3|633|67|60|66.03|66|69.29|70.85,2|1|3,37|40,006030301882|000910502519|045621602519|048811903257|058221803257|083071803257|008041101882|010641001882,35.5|14.5|40,-22.836389,-45.255556,2023-11-22,1999-12-10,2032-12-22|2028-11-29|2027-10-18|2029-12-08|2038-04-30,Potim,20250717,4,320.0,inf
