NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48412023|155832022|48422023|59072012|97432014|166262022,403101158,RUA DORIVAL RODRIGUES BARROS    1420,,SP,3527405,5M00G7W|20M0G7W|10M0G7W|200KG7W,WCDMA|LTE|GSM,2160|2167.5|874.5|1867.5|1862.5|2680|788|2150,1970|1977.5|829.5|1772.5|1767.5|2560|733|1960,120|140|160,Greenfield,sim|nÃÂ£o,56001603518|7690501705,17.4|14.7|17|17.5|14.2|17.6,25|35,62|68|67|70|81.69,0|4,45|48,8041101882|10641001882|83071803257|58221803257|48811903257|910502519,40|32.5,-21.722778,-51.02,2024-07-25,1999-12-10,2038-04-29|2028-11-29|2032-12-22|2027-10-18|2029-12-08,LucÃÂ©lia,20250715,2,140.0,inf
VIVO,50409146447,155832022|48422023|59072012|97432014|166262022|48412023,403101158,RUA DORIVAL RODRIGUES BARROS    1420,,SP,3527405,200KG7W|5M00G7W|20M0G7W|10M0G7W,GSM|LTE|WCDMA,874.5|1867.5|1862.5|2680|788|2150|2160|2167.5,829.5|1772.5|1767.5|2560|733|1960|1970|1977.5,230|250,Greenfield,nÃÂ£o|sim,7690501705|56001603518,17.6|17|17.5|14.2|17.4|14.7,35|25,81.69|67|62|70|68,4|0|1,48|45,910502519|83071803257|58221803257|48811903257|8041101882|10641001882,32.5|40,-21.722778,-51.02,2024-07-25,1999-12-10,2028-11-29|2032-12-22|2027-10-18|2029-12-08|2038-04-29,LucÃÂ©lia,20250715,3,230.0,inf
VIVO,50409146447,48422023|59072012|97432014|166262022|48412023|155832022,403101158,RUA DORIVAL RODRIGUES BARROS    1420,,SP,3527405,5M00G7W|20M0G7W|10M0G7W|200KG7W,LTE|GSM|WCDMA,1867.5|1862.5|2680|788|2150|2160|874.5|2167.5,1772.5|1767.5|2560|733|1960|1970|829.5|1977.5,310|340,Greenfield,nÃÂ£o|sim,56001603518|7690501705,17|17.5|14.2|17.4|17.6|14.7,25|35,67|62|70|81.69|68,0|1|4,45|48,83071803257|58221803257|48811903257|910502519|8041101882|10641001882,40|32.5,-21.722778,-51.02,2024-07-25,1999-12-10,2032-12-22|2027-10-18|2029-12-08|2038-04-29|2028-11-29,LucÃÂ©lia,20250715,4,310.0,inf
