NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,97812014|47102015|48352023|105812021|48392023,1001628486,RUA ALBERGATI CAPACELLI,,SP,3550308|3522208,10M0G7W|5M00G7W|100MG7W|2M50G7W,LTE|NR|WCDMA,778|1812.5|1832.5|2117.5|3550|956.25|958.75,723|1717.5|1737.5|1927.5|3550|911.25|913.75,155,,,056001603518|100462102519,11.96|25,23|25,65,-1,55,057731705894|006091702519|027191702519|100462102519|000131201882|008041101882,40|200,-23.746389|-23.750277,-46.781917|-46.795555,2023-12-19|2024-02-26,2015-06-12|2022-06-23,2029-12-08|2031-03-11|2038-04-30|2041-12-08|2028-04-01,SÃÂ£o Paulo|Itapecerica da Serra,20250715,2,155.0,inf
TIM,50010613854,97812014|47102015|48352023|105812021|48392023,1001628486,RUA ALBERGATI CAPACELLI,,SP,3550308|3522208,10M0G7W|5M00G7W|100MG7W|2M50G7W,LTE|NR|WCDMA,778|1812.5|1832.5|2117.5|3550|956.25|958.75,723|1717.5|1737.5|1927.5|3550|911.25|913.75,235,,,056001603518|100462102519,11.96|25,23|25,65,-1,55,057731705894|006091702519|027191702519|100462102519|000131201882|008041101882,40|200,-23.746389|-23.750277,-46.781917|-46.795555,2023-12-19|2024-02-26,2015-06-12|2022-06-23,2029-12-08|2031-03-11|2038-04-30|2041-12-08|2028-04-01,SÃÂ£o Paulo|Itapecerica da Serra,20250715,3,235.0,inf
TIM,50010613854,97812014|47102015|48352023|105812021|48392023,1001628486,RUA ALBERGATI CAPACELLI,,SP,3550308|3522208,10M0G7W|5M00G7W|100MG7W|2M50G7W,LTE|NR|WCDMA,778|1812.5|1832.5|2117.5|3550|956.25|958.75,723|1717.5|1737.5|1927.5|3550|911.25|913.75,350,,,056001603518|100462102519,11.96|25,23|25,65,-1,54,057731705894|006091702519|027191702519|100462102519|000131201882|008041101882,40|200,-23.746389|-23.750277,-46.781917|-46.795555,2023-12-19|2024-02-26,2015-06-12|2022-06-23,2029-12-08|2031-03-11|2038-04-30|2041-12-08|2028-04-01,SÃÂ£o Paulo|Itapecerica da Serra,20250715,4,350.0,inf
