NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|48422023|97432014,687525039,RUA BELARMINO SILVA,,SP,3518909,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,890.75|874.5|1862.5|788|1867.5,845.75|829.5|1767.5|733|1772.5,50|70,Greenfield,nÃÂ£o|sim,000650501705|024731703257|002000703518,17.8|14.9|15.5|14.7,25,68|63|63.3|75.66,3|1|0,34|37,000910502519|083071803257|048811903257|000081201882,35|40,-20.649111,-50.662972,2024-01-02,2005-10-05,2028-11-29|2032-12-22|2029-12-08,GuzolÃÂ¢ndia,20250716,1,50.0,4.573855
VIVO,50409146447,155832022|48422023|97432014,687525039,RUA BELARMINO SILVA,,SP,3518909,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,890.75|874.5|1862.5|788|1867.5,845.75|829.5|1767.5|733|1772.5,180|190,Greenfield,nÃÂ£o|sim,000650501705|024731703257|002000703518,17.8|14.9|15.5|14.7,25,68|63|63.3|75.66,3|1|0,34|37,000910502519|083071803257|048811903257|000081201882,35|40,-20.649111,-50.662972,2024-01-02,2005-10-05,2028-11-29|2032-12-22|2029-12-08,GuzolÃÂ¢ndia,20250716,3,180.0,4.573855
VIVO,50409146447,155832022|48422023|97432014,687525039,RUA BELARMINO SILVA,,SP,3518909,5M00G7W|200KG7W|10M0G7W,WCDMA|GSM|LTE,874.5|890.75|1862.5|788|1867.5,829.5|845.75|1767.5|733|1772.5,320|340,Greenfield,sim|nÃÂ£o,002000703518|000650501705|024731703257,14.7|17.8|14.9|15.5,25,75.66|68|63|63.3,0|7|2,37|34,000081201882|000910502519|083071803257|048811903257,40|14.5|32.5,-20.649111,-50.662972,2024-01-02,2005-10-05,2028-11-29|2032-12-22|2029-12-08,GuzolÃÂ¢ndia,20250716,4,340.0,4.573855
VIVO,50409146447,97432014,689110332,RODOVIA FELICIANO SALLES DA CUNHA,KM 585 SP 310,SP,3518909,10M0G7W,LTE,788,733,360,,,0,15,21,70.7,2,60,048811903257,40,-20.624803,-50.746861,2024-05-13,2007-05-04,2029-12-08,GuzolÃÂ¢ndia,20250716,0,360.0,4.573855
VIVO,50409146447,48422023|155832022,689110332,RODOVIA FELICIANO SALLES DA CUNHA,KM 585 SP 310,SP,3518909,200KG7W|5M00G7W,GSM|WCDMA,1862.5|874.5,1767.5|829.5,10,,,038801200762|012720905344,17.8|15.5,25,65|68,7|0,57|59,011691101882|000081201882,10|40,-20.624803,-50.746861,2024-05-13,2007-05-04,2032-12-22|2028-11-29,GuzolÃÂ¢ndia,20250716,1,10.0,4.573855
VIVO,50409146447,155832022|48422023|97432014,689110332,RODOVIA FELICIANO SALLES DA CUNHA,KM 585 SP 310,SP,3518909,200KG7W|5M00G7W|10M0G7W,GSM|WCDMA|LTE,874.5|890.75|1862.5|788,829.5|845.75|1767.5|733,97|100|112|120,,,001120201293|038801200762|012720905344|005380301537|0,14.5|17.8|15.5|13.5|15,25|23|21,65|68|45.22|70.7,0|6|2,60|57|59|23,009180401065|011691101882|000081201882|048811903257,10|40,-20.624803,-50.746861,2024-05-13,2007-05-04,2028-11-29|2032-12-22|2029-12-08,GuzolÃÂ¢ndia,20250716,2,100.0,4.573855
VIVO,50409146447,97432014|155832022|48422023,689110332,RODOVIA FELICIANO SALLES DA CUNHA,KM 585 SP 310,SP,3518909,10M0G7W|200KG7W|5M00G7W,LTE|GSM|WCDMA,788|890.75|874.5|1862.5,733|845.75|829.5|1767.5,270|277|280|300,,,0|001120201293|038801200762|012720905344,15|14.5|17.8|15.5,21|25,70.7|65|68,0|4,60|57|59,048811903257|009180401065|011691101882|000081201882,40|10,-20.624803,-50.746861,2024-05-13,2007-05-04,2029-12-08|2028-11-29|2032-12-22,GuzolÃÂ¢ndia,20250716,4,277.0,4.573855
