NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012|29332016|97692014,690017065,R PARANA,,SP,3534807,200KG7W|20M0G7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|2640|2625|798|885|892.75,1780|2520|2505|743|840|847.75,0,Greenfield,nÃÂ£o,012720905344,16.5|17.6|13.4|13.52,21|20,66|51|68,-2,60|55,006030301882|024251201882|033782402519|008881101882,35.5|30|79.43|72.44,-21.48657,-51.70242,2024-06-20,2008-02-27,2028-03-31|2027-10-18|2031-08-29|2029-12-08,Ouro Verde,20250716,1,0.0,inf
CLARO,50409105090,46622011|59592012|29332016|97692014,690017065,R PARANA,,SP,3534807,200KG7W|20M0G7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|2640|2625|798|885|892.75,1780|2520|2505|743|840|847.75,110,Greenfield,nÃÂ£o,012720905344,16.5|17.6|13.4|13.52,21|20,66|51|68,-2,60|55,006030301882|024251201882|033782402519|008881101882,35.5|30|79.43|72.44,-21.48657,-51.70242,2024-06-20,2008-02-27,2028-03-31|2027-10-18|2031-08-29|2029-12-08,Ouro Verde,20250716,2,110.0,inf
CLARO,50409105090,46622011|59592012|29332016|97692014,690017065,R PARANA,,SP,3534807,200KG7W|20M0G7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|2640|2625|798|885|892.75,1780|2520|2505|743|840|847.75,250,Greenfield,nÃÂ£o,012720905344,16.5|17.6|13.4|13.52,21|20,66|51|68,-2,60|55,006030301882|024251201882|033782402519|008881101882,35.5|30|79.43|72.44,-21.48657,-51.70242,2024-06-20,2008-02-27,2028-03-31|2027-10-18|2031-08-29|2029-12-08,Ouro Verde,20250716,3,250.0,inf
