NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012|29332016|97692014|48372023|34672011,685034968,R FRANCISCO FRUTUOSO EVANGELISTA,,SP,3515350,200KG7W|10M0G7W|20M0G7W|15M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2625|798|2117.5|2140|885,1780|2520|2505|743|1927.5|1950|840,120,Greenfield,nÃÂ£o,056001603518,14.3|14.5|13|14.7|14,25|23,65|59|67|53|62,0,50,040952002519|056351705894|057731705894|039721705894,20|40|80,-22.554,-52.58856,2024-06-12,2004-12-30,2028-03-31|2027-10-18|2031-08-29|2029-12-08|2038-04-30|2026-06-01,Euclides da Cunha Paulista,20250715,2,120.0,inf
CLARO,50409105090,46622011|59592012|29332016|97692014|48372023|34672011,685034968,R FRANCISCO FRUTUOSO EVANGELISTA,,SP,3515350,200KG7W|10M0G7W|20M0G7W|15M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2625|798|2117.5|2140|885,1780|2520|2505|743|1927.5|1950|840,265,Greenfield,nÃÂ£o,056001603518,14.3|14.5|13|14.7|14,25|23,65|59|67|53|62,0,50,040952002519|056351705894|057731705894|039721705894,20|40|80,-22.554,-52.58856,2024-06-12,2004-12-30,2028-03-31|2027-10-18|2031-08-29|2029-12-08|2038-04-30|2026-06-01,Euclides da Cunha Paulista,20250715,3,265.0,inf
