NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,105802021,1012553709,RUA ANTONIO FAVERO,,SP,3536703,100MG7W,NR,3450,3450,90,,,168242103257,16.8,23.8,65,6,48|49,168242103257,200,-22.366672,-48.766414,2024-07-22|2024-08-12,2021-10-28,2041-12-08,Pederneiras,20240828,2,90.0,inf
VIVO,50409146447,105802021,1012553709,RUA ANTONIO FAVERO,,SP,3536703,100MG7W,NR,3450,3450,220,,,168242103257,16.8,23.8,65,6,48|49,168242103257,200,-22.366672,-48.766414,2024-07-22|2024-08-12,2021-10-28,2041-12-08,Pederneiras,20240828,3,220.0,inf
VIVO,50409146447,105802021,1012553709,RUA ANTONIO FAVERO,,SP,3536703,100MG7W,NR,3450,3450,330,,,168242103257,16.8,23.8,65,6,48|49,168242103257,200,-22.366672,-48.766414,2024-07-22|2024-08-12,2021-10-28,2041-12-08,Pederneiras,20240828,4,330.0,inf
