NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|97432014|48422023,689074425,RUA SEBASTIÃÂO MOREIRA DA ROCHA,,SP,3539707,200KG7W|5M00G7W|10M0G7W,GSM|WCDMA|LTE,890.75|874.5|788|1867.5|1862.5,845.75|829.5|733|1772.5|1767.5,10|40,Greenfield,nÃÂ£o|sim,002000703518|024731703257,17.6|14.7|15.5|14.9,28|25,65|75.66|63.3|63,6|0|1,54|55,000910502519|000081201882|048811903257|083071803257,32.5|40,-22.632916,-50.20442,2024-01-09,2007-03-19,2028-11-29|2029-12-08|2032-12-22,Platina,20250716,1,25.0,inf
VIVO,50409146447,97432014|48422023|155832022,689074425,RUA SEBASTIÃÂO MOREIRA DA ROCHA,,SP,3539707,10M0G7W|5M00G7W|200KG7W,LTE|GSM|WCDMA,788|1867.5|1862.5|890.75|874.5,733|1772.5|1767.5|845.75|829.5,110|120,Greenfield,nÃÂ£o|sim,024731703257|002000703518,15.5|14.9|17.6|14.7,25|28,63.3|63|65|75.66,1|6|0,54|55,048811903257|083071803257|000910502519|000081201882,40|32.5,-22.632916,-50.20442,2024-01-09,2007-03-19,2029-12-08|2032-12-22|2028-11-29,Platina,20250716,2,115.0,inf
VIVO,50409146447,97432014|48422023|155832022,689074425,RUA SEBASTIÃÂO MOREIRA DA ROCHA,,SP,3539707,10M0G7W|5M00G7W|200KG7W,LTE|GSM|WCDMA,788|1867.5|1862.5|890.75|874.5,733|1772.5|1767.5|845.75|829.5,220|240,Greenfield,nÃÂ£o|sim,024731703257|002000703518,15.5|14.9|17.6|14.7,25|28,63.3|63|65|75.66,2|6|0,54|55,048811903257|083071803257|000910502519|000081201882,40|32.5,-22.632916,-50.20442,2024-01-09,2007-03-19,2029-12-08|2032-12-22|2028-11-29,Platina,20250716,3,230.0,inf
