NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,97812014|48352023,1006390607,RUA FRANCISCO PAULA LEITE NOGUEIRA,,SP,3544400,10M0G7W|5M00G7W,LTE|WCDMA,778|2130,723|1940,55,Greenfield,nÃÂ£o,056001603518,11.96,23,65,-7,14,018591601350|027191702519,40,-21.30083,-50.72944,2023-12-19,2018-04-20,2029-12-08|2038-04-30,RubiÃÂ¡cea,20250717,1,55.0,inf
TIM,50010613854,97812014|48352023,1006390607,RUA FRANCISCO PAULA LEITE NOGUEIRA,,SP,3544400,10M0G7W|5M00G7W,LTE|WCDMA,778|2130,723|1940,180,Greenfield,nÃÂ£o,056001603518,11.96,23,65,-7,14,018591601350|027191702519,40,-21.30083,-50.72944,2023-12-19,2018-04-20,2029-12-08|2038-04-30,RubiÃÂ¡cea,20250717,3,180.0,inf
TIM,50010613854,97812014|48352023,1006390607,RUA FRANCISCO PAULA LEITE NOGUEIRA,,SP,3544400,10M0G7W|5M00G7W,LTE|WCDMA,778|2130,723|1940,320,Greenfield,nÃÂ£o,056001603518,11.96,23,65,-7,14,018591601350|027191702519,40,-21.30083,-50.72944,2023-12-19,2018-04-20,2029-12-08|2038-04-30,RubiÃÂ¡cea,20250717,4,320.0,inf
