NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|48372023|34672011,1014594054,R TREZE,,SP,3510708,200KG7W|10M0G7W|15M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2117.5|2140,1780|743|1927.5|1950,0|40,,,056001603518,14.3|13|14.7,25|23,65|67|53,0,40|43,040952002519|057731705894,20|80,-20.06574,-49.90324,2024-04-24,2023-01-12,2028-03-31|2029-12-08|2038-04-30|2026-06-01,Cardoso,20250716,1,20.0,0.8583999999999999
CLARO,50409105090,46622011|97692014|48372023|34672011,1014594054,R TREZE,,SP,3510708,200KG7W|10M0G7W|15M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2117.5|2140,1780|743|1927.5|1950,330,,,056001603518,14.3|13|14.7,25|23,65|67|53,0,40|41,040952002519|057731705894,20|80,-20.06574,-49.90324,2024-04-24,2023-01-12,2028-03-31|2029-12-08|2038-04-30|2026-06-01,Cardoso,20250716,4,330.0,0.8583999999999999
CLARO,50409105090,46622011|97692014,685034305,RUA URIAS DE PAULA E SILVA    294    CENTRO,,SP,3510708,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,955|1880|803|890|894,952.5|1870|793|880|891.5,20,Greenfield,nÃÂ£o,012720905344|027331703519,13.52|16.16|14.1,20.0|27.0|25.0,68.0|66.76|66.56,0.0,61.0|54.0,037621705894|012111805894|057731705894|008881101882,19.95|20.0|40.0|80.0|72.44,-20.07889,-49.91194,2019-06-05,2004-12-30,2028-03-31|2029-12-08,Cardoso,20250716,1,20.0,0.8583999999999999
CLARO,50409105090,46622011|97692014,685034305,RUA URIAS DE PAULA E SILVA    294    CENTRO,,SP,3510708,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,955|1880|803|890|894,952.5|1870|793|880|891.5,170,Greenfield,nÃÂ£o,012720905344|027331703519,13.52|16.16|14.1,20.0|27.0|25.0,68.0|66.76|66.56,0.0,61.0|54.0,037621705894|012111805894|057731705894|008881101882,19.95|20.0|40.0|80.0|72.44,-20.07889,-49.91194,2019-06-05,2004-12-30,2028-03-31|2029-12-08,Cardoso,20250716,2,170.0,0.8583999999999999
CLARO,50409105090,46622011|97692014,685034305,RUA URIAS DE PAULA E SILVA    294    CENTRO,,SP,3510708,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,955|1880|803|890|894,952.5|1870|793|880|891.5,270,Greenfield,nÃÂ£o,012720905344|027331703519,13.52|16.16|14.1,20.0|27.0|25.0,68.0|66.76|66.56,0.0,61.0|54.0,037621705894|012111805894|057731705894|008881101882,19.95|20.0|40.0|80.0|72.44,-20.07889,-49.91194,2019-06-05,2004-12-30,2028-03-31|2029-12-08,Cardoso,20250716,4,270.0,0.8583999999999999
