NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,59632012|1452016|1432016|1422016|155832022|59072012,1005063750,RODOVIA GOVERNADOR CARVALHO PINTO|Rodovia Governador Carvalho Pinto    Km 126   3 SP 70 - Pirizal,KM 126,3 SP 70|SP,SP|3554102,3554102|20M0G7W,5M00G7W|LTE,2690,2655|2665|2680|874.5|2670,0,FB|Greenfield,Greenfield|nÃÂ£o,760|038961403518,038961403518|16.8,16.7|15.8|25.0,25|71.82,60|67|2.0,X|48.5,48|038411301882,058221803257|000081201882|40.000,40|-23.09333,-23.093325|-45.61556,G|2023-11-24,2023-11-24|2017-10-20,12de95f80ffc16aa|12de95f80ffc16ab|12de95f80ffc16ac|12de95f80ffc16b0|12de95f80ffc16b1|12de95f80ffc16b2|12de95f80ffc16b3|12de95f80ffc16b4|12de95f80ffc16b5|12de95f80ffc16b6|12de95f80ffc16b7|12de95f80ffc16b8|59e9e98840da2|59e9e98841cd4|59e9e98842097|2027-10-18,TIM S A|TaubatÃÂ©,20250718,1,0.0,inf
VIVO,50409146447,59632012|1452016|1432016|1422016|155832022|59072012,1005063750,RODOVIA GOVERNADOR CARVALHO PINTO|Rodovia Governador Carvalho Pinto    Km 126   3 SP 70 - Pirizal,KM 126,3 SP 70|SP,SP|3554102,3554102|20M0G7W,5M00G7W|LTE,2690,2655|2665|2680|874.5|2670,0,FB|Greenfield,Greenfield|nÃÂ£o,760|038961403518,038961403518|16.8,16.7|15.8|25.0,25|71.82,60|67|2.0,X|48.5,48|038411301882,058221803257|000081201882|40.000,40|-23.09333,-23.093325|-45.61556,G|2023-11-24,2023-11-24|2017-10-20,12de95f80ffc16aa|12de95f80ffc16ab|12de95f80ffc16ac|12de95f80ffc16b0|12de95f80ffc16b1|12de95f80ffc16b2|12de95f80ffc16b3|12de95f80ffc16b4|12de95f80ffc16b5|12de95f80ffc16b6|12de95f80ffc16b7|12de95f80ffc16b8|59e9e98840da2|59e9e98841cd4|59e9e98842097|2027-10-18,TIM S A|TaubatÃÂ©,20250718,1,0.0,inf
