NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|105752021|48372023|34672011,684915472,R DAS PALMAS,,SP,3527603,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,885|892.75|1875|798|2325|2117.5|2140,840|847.75|1780|743|0|1927.5|1950,20,Greenfield,nÃÂ£o,,13.8|16.7|13.3|16.2|17.2,25|28,60|64|79|65,0|-1,60,039721705894|012111805894|057731705894|139102102519|008041101882,80|40|50|61.52,-21.55522,-47.70118,2023-07-28,2004-12-09,2028-03-31,LuÃÂ­s AntÃÂ´nio,20250716,1,20.0,inf
CLARO,50409105090,46622011|97692014|105752021|48372023|34672011,684915472,R DAS PALMAS,,SP,3527603,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,885|892.75|1875|798|2325|2117.5|2140,840|847.75|1780|743|0|1927.5|1950,110,Greenfield,nÃÂ£o,,13.8|16.7|13.3|16.2|17.2,25|28,60|64|79|65,-1,60,039721705894|012111805894|057731705894|139102102519|008041101882,80|40|50|61.52,-21.55522,-47.70118,2023-07-28,2004-12-09,2028-03-31,LuÃÂ­s AntÃÂ´nio,20250716,2,110.0,inf
CLARO,50409105090,46622011|97692014|105752021|48372023|34672011,684915472,R DAS PALMAS,,SP,3527603,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,885|892.75|1875|798|2325|2117.5|2140,840|847.75|1780|743|0|1927.5|1950,270,Greenfield,nÃÂ£o,,13.8|16.7|13.3|16.2|17.2,25|28,60|64|79|65,-2,60,039721705894|012111805894|057731705894|139102102519|008041101882,80|40|50|61.52,-21.55522,-47.70118,2023-07-28,2004-12-09,2028-03-31,LuÃÂ­s AntÃÂ´nio,20250716,4,270.0,inf
