NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|97432014|48422023|166262022|48412023,689037813,RUA THOMAZ DE MESQUITA,,SP,3550803,5M00G7W|200KG7W|10M0G7W,WCDMA|GSM|LTE,874.5|890.75|788|1862.5|1867.5|1855|2160|2167.5,829.5|845.75|733|1767.5|1772.5|1760|1970|1977.5,30|50|60,Greenfield,sim|nÃÂ£o,002000703518|005152003257,14.7|17.6|14|17.2|17.3,25|28|21|26,75.66|65|66|69|68,4|2,40,000081201882|000910502519|048811903257|083071803257,40|32.5,-21.713056,-46.820278,2024-01-08,2007-03-07,2028-11-29|2029-12-08|2032-12-22|2038-04-30,SÃÂ£o SebastiÃÂ£o da Grama,20250715,1,60.0,inf
VIVO,50409146447,97432014|48422023|166262022|48412023|155832022,689037813,RUA THOMAZ DE MESQUITA,,SP,3550803,10M0G7W|5M00G7W|200KG7W,LTE|GSM|WCDMA,788|1862.5|1867.5|1855|2160|2167.5|874.5|890.75,733|1767.5|1772.5|1760|1970|1977.5|829.5|845.75,100|160,Greenfield,nÃÂ£o|sim,005152003257|002000703518,14|17.2|17.3|17.6|14.7,21|26|25|28,66|69|68|65|75.66,2|4,40,048811903257|083071803257|000910502519|000081201882,40|32.5,-21.713056,-46.820278,2024-01-08,2007-03-07,2029-12-08|2032-12-22|2038-04-30|2028-11-29,SÃÂ£o SebastiÃÂ£o da Grama,20250715,2,100.0,inf
VIVO,50409146447,155832022|97432014|48422023|166262022|48412023,689037813,RUA THOMAZ DE MESQUITA,,SP,3550803,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,890.75|874.5|788|1862.5|1867.5|1855|2160|2167.5,845.75|829.5|733|1767.5|1772.5|1760|1970|1977.5,270|310,Greenfield,nÃÂ£o|sim,002000703518|005152003257,17.6|14|17.2|17.3|14.7,28|21|26|25,65|66|69|68|75.66,2|4,40,000910502519|048811903257|083071803257|000081201882,32.5|40,-21.713056,-46.820278,2024-01-08,2007-03-07,2028-11-29|2029-12-08|2032-12-22|2038-04-30,SÃÂ£o SebastiÃÂ£o da Grama,20250715,4,270.0,inf
