NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|48372023,685040402,R JOSE VIRGINIO DOS SANTOS,2 - QD 2,SP,3555356,200KG7W|10M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,953.75|1875|798|885|892.75|2117.5,908.75|1780|743|840|847.75|1927.5,30,Greenfield,nÃÂ£o,012720905344|027331703519,13.52|16.16|14.1|16.18,20|27|25,68|66.76|66.56|65,0,57|60.5,037621705894|012111805894|057731705894|039721705894|008881101882|018151001882,19.95|40|80|72.44|60.2,-21.16681,-49.7169,2024-08-09,2004-12-30,2028-03-31|2029-12-08|2038-04-30,Ubarana,20250719,1,30.0,inf
CLARO,50409105090,46622011|97692014|48372023,685040402,R JOSE VIRGINIO DOS SANTOS,2 - QD 2,SP,3555356,200KG7W|10M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,953.75|1875|798|885|892.75|2117.5,908.75|1780|743|840|847.75|1927.5,200,Greenfield,nÃÂ£o,012720905344|027331703519,13.52|16.16|14.1|16.18,20|27|25,68|66.76|66.56|65,0,57|60.5,037621705894|012111805894|057731705894|039721705894|008881101882|018151001882,19.95|40|80|72.44|60.2,-21.16681,-49.7169,2024-08-09,2004-12-30,2028-03-31|2029-12-08|2038-04-30,Ubarana,20250719,3,200.0,inf
