NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|48372023,1015941980,R ARISTOTERES CARVALHO FERREIRA,,SP,3555901,10M0G7W|5M00G7W,LTE|WCDMA,1875|798|2117.5,1780|743|1927.5,30,,,,16.5|13.4|16.9,21|22,66|68|62,0,60,006091702519|057731705894|027191702519,79.43|80|60,-21.78618,-49.28583,2024-07-11,2024-07-11,2028-03-31|2029-12-08|2038-04-30,Uru,20250715,1,30.0,inf
CLARO,50409105090,46622011|97692014|48372023,1015941980,R ARISTOTERES CARVALHO FERREIRA,,SP,3555901,10M0G7W|5M00G7W,LTE|WCDMA,1875|798|2117.5,1780|743|1927.5,110,,,,16.5|13.4|16.9,21|22,66|68|62,0,60,006091702519|057731705894|027191702519,79.43|80|60,-21.78618,-49.28583,2024-07-11,2024-07-11,2028-03-31|2029-12-08|2038-04-30,Uru,20250715,2,110.0,inf
CLARO,50409105090,46622011|97692014|48372023,1015941980,R ARISTOTERES CARVALHO FERREIRA,,SP,3555901,10M0G7W|5M00G7W,LTE|WCDMA,1875|798|2117.5,1780|743|1927.5,230,,,,16.5|13.4|16.9,21|22,66|68|62,0,60,006091702519|057731705894|027191702519,79.43|80|60,-21.78618,-49.28583,2024-07-11,2024-07-11,2028-03-31|2029-12-08|2038-04-30,Uru,20250715,3,230.0,inf
