NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014,688961878,AVENIDA MARIA DAVINA DOS SANTOS,,SP,3553856,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,0,Greenfield,,056001603518,11.96,23,65,-7,65,000790401592|000780401350|007591301882|031191601350|008041101882,20|40,-23.92867,-48.70222,2023-12-19,2007-02-01,2031-03-11|2038-04-30|2029-12-08,TaquarivaÃÂ­,20250719,1,0.0,inf
TIM,50010613854,47102015|48352023|97812014,688961878,AVENIDA MARIA DAVINA DOS SANTOS,,SP,3553856,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,90,Greenfield,,056001603518,11.96,23,65,-7,65,000790401592|000780401350|007591301882|031191601350|008041101882,20|40,-23.92867,-48.70222,2023-12-19,2007-02-01,2031-03-11|2038-04-30|2029-12-08,TaquarivaÃÂ­,20250719,2,90.0,inf
TIM,50010613854,47102015|48352023|97812014,688961878,AVENIDA MARIA DAVINA DOS SANTOS,,SP,3553856,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,250,Greenfield,,056001603518,11.96,23,65,-7,65,000790401592|000780401350|007591301882|031191601350|008041101882,20|40,-23.92867,-48.70222,2023-12-19,2007-02-01,2031-03-11|2038-04-30|2029-12-08,TaquarivaÃÂ­,20250719,3,250.0,inf
