NumEstacao,distance
687528755,0.28
1008765080,0.28
1010190730,0.28
1014494130,0.28
1952307,0.28
2022540,0.28
441928218,0.28
441928307,0.28
1000809266,0.28
690277229,0.28
534607209,0.28
534607276,0.28
687384214,0.05
689068050,0.05
1008604191,0.28
1015955409,0.28
396832156,0.28
1008827549,0.28
1792946,0.28
426613856,0.28
431059357,0.28
1001180744,0.28
687528747,0.28
1014944829,0.28
396832130,0.28
1003170193,0.28
403101085,0.28
691667535,0.28
1014493703,0.28
687472636,0.28
1012467900,0.28
2151219,0.28
687524075,0.28
687388732,0.05
689110588,0.05
442159366,0.28
1003497486,0.28
1011594029,0.28
1012645298,0.28
1013276750,0.28
396745350,0.28
410853607,0.28
441986609,0.28
688742769,0.28
691931810,0.28
1012916275,0.28
687381525,0.05
396722806,0.28
1000607612,0.28
688394779,0.28
1000035198,0.28
1000581389,0.28
396831389,0.28
410916820,0.28
445703,0.28
692040668,0.28
536375968,0.28
689244339,0.28
687388651,0.28
2151146,0.28
687374340,0.28
535811756,0.28
698106571,0.28
687528798,0.28
1004880429,0.28
1005314150,0.220935
1005314168,0.15378999999999998
1005314176,0.15378999999999998
535648928,0.22305
535811799,0.28
689145802,0.28
699067910,0.28
1005115238,0.28
1005313048,0.28
1005313064,0.28
534910041,0.28
693080361,0.28
1012603358,0.229755
2460963,0.28
2649527,0.28
426201850,0.28
426565630,0.229755
686756495,0.28
1011755073,0.28
396721273,0.28
699340152,0.28
1002996748,0.28
687374332,0.28
699067960,0.28
1001299075,0.28
1001328610,0.28
1001990690,0.17679
1004928170,0.11939
1005062886,0.28
1007136771,0.17561000000000002
1007623583,0.28
1008197138,0.28
1008573113,0.28
1009491021,0.28
1009601390,0.28
1009929361,0.17561000000000002
1012916259,0.28
1013135153,0.28
1014213212,0.28
1014690517,0.28
1014690525,0.28
1015589763,0.28
1016016910,0.28
2163861,0.28
2164043,0.28
403092108,0.28
403092272,0.28
403092515,0.28
431059373,0.28
431059381,0.11939
431059446,0.28
431059454,0.17679
431059462,0.28
431059489,0.28
431059497,0.28
431059586,0.28
431059594,0.28
431059616,0.28
431059624,0.28
431059632,0.28
431059640,0.28
431059659,0.28
445690,0.28
682972835,0.28
691505586,0.28
695639269,0.28
697438279,0.28
699067928,0.28
699067944,0.28
699297184,0.28
1003172544,0.28
1012405475,0.28
396806546,0.28
405609183,0.28
532673,0.28
1013193889,0.28
396722296,0.28
1000969891,0.28
1001327311,0.28
1007928821,0.28
1012405670,0.28
1012405696,0.28
1016017038,0.28
1948083,0.28
396828132,0.28
426565070,0.28
426565312,0.28
426565320,0.28
441946402,0.28
441946410,0.28
441946470,0.28
441946488,0.28
690257716,0.28
403093295,0.28
396722377,0.28
687528712,0.28
687383455,0.28
689073410,0.28
399669507,0.28
689838727,0.28
1008944057,0.28
1014944802,0.28
1014962495,0.28
431057540,0.28
699067979,0.28
699851670,0.28
396824340,0.28
1014249535,0.28
379963337,0.28
1002003870,0.28
1005313056,0.28
4122925,0.28
692627316,0.28
687472610,0.28
1000627915,0.28
1015559821,0.28
442755341,0.28
536375941,0.28
536376069,0.28
683602918,0.28
699353408,0.28
687528720,0.28
399676406,0.28
1012405807,0.28
431055840,0.28
1002051379,0.28
691930520,0.28
1007841785,0.28
1012405831,0.20869
1014494017,0.28
1014494033,0.20069499999999998
426623975,0.28
441583296,0.20869
441583407,0.28
441583423,0.20069499999999998
441583490,0.28
689991673,0.28
690144008,0.25712999999999997
396723241,0.28
534606148,0.28
1012405742,0.28
1183567,0.28
699381258,0.28
1001177905,0.28
2164027,0.28
1003519811,0.28
1009491005,0.28
1014493584,0.28
442748248,0.28
442748264,0.28
577900676,0.28
690981740,0.28
692822160,0.28
698096266,0.28
396832121,0.28
687528046,0.28
534605893,0.28
1000804086,0.28
1007640003,0.28
443157600,0.28
690583680,0.28
1000011825,0.14328
1000118182,0.28
1000169569,0.25276
1000169607,0.28
1000169631,0.14241499999999999
1000169640,0.28
